idx,im_std,clicks,spent,success
325,0.8727329634827459,50,86.33000112,1.0
326,1.8011380443703837,86,161.9099991,1.0
327,-0.5009049731536449,1,1.820000052,-1.0
328,3.455717874616427,123,236.7699986,1.0
329,9.16118066968888,340,639.9499981,1.0
330,-0.5012982432054724,1,1.590000033,1.0
331,0.5471373337444405,30,52.97000015,1.0
332,6.055507886501376,202,360.1500015,1.0
333,-0.13023675869490345,9,16.5200001,1.0
334,-0.49275820817757404,1,1.539999962,-1.0
335,2.550784301456159,95,163.8999972,1.0
336,2.2192000960505927,123,210.3600006,1.0
337,-0.01368494406668062,20,35.73000026,1.0
338,2.2642726807710285,120,215.8399994,1.0
339,-0.4968092094431477,2,3.800000072,-1.0
340,0.7148494256026909,55,96.80000055,-1.0
341,1.2332624841663222,89,157.329998,1.0
342,-0.28127803713665717,15,26.56999946,1.0
343,0.5072188248251921,54,93.08999991,1.0
344,0.43856602358257285,46,78.9200002,1.0
345,0.6793240309209313,58,103.1500002,-1.0
346,-0.04965476588018038,22,36.53000021,1.0
347,-0.18655111172611868,15,28.85000002,1.0
348,2.70989241193662,152,257.7099986,1.0
349,-0.45021150427781925,5,7.220000148,-1.0
350,-0.4663579576252125,4,7.899999976,1.0
351,0.31915900443173173,34,62.06000042,1.0
352,-0.5311196234769847,1,2.099999905,1.0
353,-0.32977494889373843,7,14.14000046,1.0
354,-0.22959659715502068,12,23.73000026,1.0
355,-0.5171025835809506,1,1.710000038,-1.0
356,-0.37673075361845465,5,9.440000057,-1.0
357,-0.05481523631635715,16,27.79999924,-1.0
358,0.45484676426473647,35,67.65000057,1.0
359,-0.5228705443410888,2,2.980000019,-1.0
360,-0.5110660481512718,2,3.24000001,-1.0
361,0.11178738637129017,31,52.26000011,1.0
362,-0.3142615644102628,7,13.0400002,1.0
363,0.003593359673777401,23,38.38999975,1.0
364,1.2276639812333943,80,138.7699997,1.0
365,2.8033308183968617,145,260.3800013,1.0
366,-0.435503843802966,6,8.549999952,-1.0
367,-0.3158858016974857,9,15.63000023,-1.0
368,0.2925317443372583,33,60.19999957,-1.0
369,0.07267140414316961,20,34.19000006,-1.0
370,-0.5129013083931339,2,3.24000001,-1.0
371,-0.4658559787785707,3,5.140000105,1.0
372,2.205953609670741,120,216.5599982,1.0
373,0.6799411131973762,53,93.07000041,-1.0
374,0.31054223378396445,30,56.05999923,-1.0
375,0.23649555792806748,31,54.09999871,1.0
376,-0.4122977134276432,5,7.800000072,1.0
377,-0.47312348144364497,3,5.220000029,-1.0
378,3.8545448642495237,206,358.5500029,1.0
379,2.9500205477285553,159,280.9899995,1.0
380,1.2614979949605458,65,115.1200008,1.0
381,2.7564997090544323,128,219.770002,1.0
382,0.35400656780465034,30,52.01999986,1.0
383,0.1317066743622327,22,35.30999994,1.0
384,0.5993143579377297,38,63.32000101,1.0
385,0.11783351375345266,32,54.24000037,-1.0
386,0.3083424793477255,39,65.22999996,1.0
387,-0.46391840437688353,3,4.210000038,-1.0
388,0.03813078324972624,30,48.60999978,1.0
389,-0.27540456489919946,10,13.91999972,1.0
390,-0.3923496495792499,5,11.0599997,-1.0
391,0.6974432291624515,43,87.42000079,-1.0
392,-0.5258824174209391,1,1.659999967,1.0
393,-0.4125886693196458,4,6.74000001,-1.0
394,-0.5172624494556773,5,8.220000267,1.0
395,-0.4726662650419267,3,5.580000043,-1.0
396,-0.42592148327184964,6,9.2299999,1.0
397,-0.016143681219976738,20,34.22999972,1.0
398,-0.5037282045013178,2,3.149999976,-1.0
399,-0.2611733047310317,13,20.2099994,1.0
400,0.32370878722645263,31,59.43999982,1.0
401,0.08134892382333303,22,38.58999968,1.0
402,-0.20055855966966912,11,21.84999979,1.0
403,-0.5317431003884187,1,1.960000038,-1.0
404,-0.26771501632484684,14,22.32000005,-1.0
405,0.8335018778248221,66,110.2399991,1.0
406,-0.09793745736512793,19,29.75000048,1.0
407,-0.29964342882525646,12,18.47000015,-1.0
408,-0.13215834650911798,23,36.24000025,-1.0
409,0.3506845549278302,50,76.43999958,1.0
410,-0.3931010191904652,7,11.80000019,1.0
411,-0.21808945149219527,14,26.81999981,1.0
412,0.17070755316055006,38,65.67000115,1.0
413,-0.05634994871373314,20,32.24000025,1.0
414,2.742370763046089,142,245.5999999,1.0
415,-0.2968425787000453,11,17.6400001,1.0
416,-0.0029067867926088234,25,38.54999936,1.0
417,-0.035493846696892345,23,40.75999951,-1.0
418,-0.47814326991006223,4,6.370000005,-1.0
419,0.5048112447518085,51,89.76000047,1.0
420,-0.28349377816036875,9,16.1500001,-1.0
421,1.8672873460147834,100,189.1299984,1.0
422,-0.42901328928906335,5,8.529999852,-1.0
423,0.5613334234201685,39,67.77000129,1.0
424,0.7705434990399667,50,96.8999989,1.0
425,-0.020402508122695107,21,37.13000011,1.0
426,0.0019083733541583453,29,53.15999961,1.0
427,1.9061187669858906,118,192.9299995,1.0
428,3.2606271530524884,128,236.1199988,1.0
429,-0.32688777119617485,7,12.57000017,-1.0
430,-0.2956723604970461,7,12.5800004,1.0
431,-0.17800148474573663,16,28.04999959,1.0
432,0.4951713325057906,50,83.48000121,1.0
433,-0.14702267554120335,19,30.4799999,1.0
434,-0.2692369394522447,13,20.29999983,1.0
435,0.8352028507319138,68,131.5799983,1.0
436,-0.35291073828418146,9,14.62999988,-1.0
437,0.22338335888298635,38,64.46999931,1.0
438,-0.189460670646144,21,30.15000057,1.0
439,0.1626503130743261,37,62.25000024,1.0
440,0.2697220813312577,42,78.03999984,1.0
441,-0.5275226412956348,2,3.400000095,-1.0
442,-0.3125765780906437,10,14.8300004,-1.0
443,-0.25057419723665375,13,22.42999983,1.0
444,0.005959374619732052,27,44.14000034,-1.0
